day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6,Exp,SD
Mon,042115,2115,2035,39.8171,ATL,ATL,AMS,DUS,9.1222,92.0112,7152.7248,3.2852,75425.1737,68544.7733,-84.4281,33.6367,-84.4281,33.6367,-82.5292,35.2808,1.5362,53.033,4.7639,52.3086,6.7668,51.2895,70784.3202,1074.4601
Mon,042030,2030,2330,180,ATL,ATL,ATH,FCO,8.8149,88.4136,8627.2308,14.5192,88301.8226,80518.1452,-84.4281,33.6367,-84.4281,33.6367,-82.3185,35.0259,10.0181,42.73,23.9445,37.9364,12.2508,41.8045,82697.3328,1063.1587
Mon,042235,2235,0220,1213.9802,ATL,ATL,LGW,LHR,9.1699,92.5312,6776.1126,1.5516,81641.283,74154.8208,-84.4281,33.6367,-84.4281,33.6367,-82.3868,35.2751,-3.6465,52.0883,-0.19028,51.1481,-0.46139,51.4775,76775.7903,1187.4365
Mon,040010,0010,2230,1340,ATL,ATL,BCN,MAD,8.7274,90.5009,7183.0799,45.6475,78159.1841,71337.9555,-84.4281,33.6367,-84.4281,33.6367,-82.0994,34.8403,-5.4341,42.0215,2.0785,41.2971,-3.5668,40.4936,73832.6973,1067.4319
Mon,042115,2115,2355,160,ATL,ATL,BRU,MAN,8.6822,89.4181,6847.2391,7.4684,69687.2968,63636.8906,-84.4281,33.6367,-84.4281,33.6367,-82.5501,35.2385,-5.3582,53.8423,4.4844,50.9014,-2.275,53.3537,65824.2548,942.8662
Mon,042030,2030,2015,14.8206,ATL,ATL,FRA,MUC,9.1416,91.6217,7556.8555,3.5505,79757.3298,72466.2124,-84.4281,33.6367,-84.4281,33.6367,-82.4853,35.2452,5.5471,50.8726,8.5431,50.0264,11.7861,48.3538,74813.4511,1088.3185
Mon,040025,0025,0210,105.3053,ATL,ATL,DUB,SNN,8.3325,91.413,6254.2017,18.269,55690.5574,51050.1535,-84.4281,33.6367,-84.4281,33.6367,-82.4639,35.2273,-11.6149,53.7648,-6.2701,53.4213,-8.9248,52.702,52832.054,779.7368
Mon,042105,2105,2335,150,ATL,ATL,MXP,VCE,9.0875,92.3592,7769.8981,14.9225,79230.576,72030.4593,-84.4281,33.6367,-84.4281,33.6367,-82.3868,35.0947,6.2743,46.4588,8.7281,45.6306,12.3519,45.5053,74242.0669,1042.9282
Mon,042140,2140,2035,65,ATL,ATL,STR,ZRH,8.6666,94.1383,7539.0419,29.9404,76737.828,70087.2899,-84.4281,33.6367,-84.4281,33.6367,-82.4639,35.1659,6.8296,48.9713,9.222,48.6899,8.5492,47.4647,71899.8674,1003.5394
Mon,042140,2140,2315,81.3213,BDL,BOS,AMS,AMS,8.0437,90.014,5617.2758,3.093,53133.2984,48859.4346,-72.6832,41.9389,-71.0052,42.3643,-68.3238,43.9092,1.7745,52.9458,4.7639,52.3086,4.7639,52.3086,50299.7504,865.6457
