day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6,Exp,SD
Mon,062115,2115,0045,1230.9375,ATL,ATL,BRU,CDG,7.8249,91.2715,7110.769,59.7934,83770.6335,77215.6986,-84.4281,33.6367,-84.4281,33.6367,-81.5784,35.8227,0.37523,50.635,4.4844,50.9014,2.55,49.0128,79011.5675,1369.8903
Mon,062115,2115,2035,39.8171,ATL,ATL,AMS,DUS,9.1222,92.0112,7152.7248,3.2852,75425.1737,68544.7733,-84.4281,33.6367,-84.4281,33.6367,-82.5292,35.2808,1.5362,53.033,4.7639,52.3086,6.7668,51.2895,70784.3202,1074.4601
Mon,062235,2235,0220,1213.9802,ATL,ATL,LGW,LHR,9.1699,92.5312,6776.1126,1.5516,81641.283,74154.8208,-84.4281,33.6367,-84.4281,33.6367,-82.3868,35.2751,-3.6465,52.0883,-0.19028,51.1481,-0.46139,51.4775,76775.7903,1187.4365
Mon,062030,2030,2015,14.8206,ATL,ATL,FRA,MUC,9.1416,91.6217,7556.8555,3.5505,79757.3298,72466.2124,-84.4281,33.6367,-84.4281,33.6367,-82.4853,35.2452,5.5471,50.8726,8.5431,50.0264,11.7861,48.3538,74813.4511,1088.3185
Mon,062200,2200,0135,1226.0287,BOS,BOS,FCO,ZRH,6.968,85.9017,6329.1501,79.036,74017.9024,68860.3112,-71.0052,42.3643,-71.0052,42.3643,-67.3196,44.1124,5.3634,47.4758,12.2508,41.8045,8.5492,47.4647,70657.2971,1331.1652
Mon,062330,2330,2350,20,CVG,CVG,CDG,FRA,8.8649,91.276,6556.3827,0.33758,66728.3751,60812.9511,-84.6678,39.0488,-84.6678,39.0488,-82.4573,40.4904,-2.922,50.7711,2.55,49.0128,-0.19028,50.0264,63257.9222,1164.7504
Mon,062005,2005,2345,220,DEN,DEN,LHR,MUC,8.5736,89.9258,8224.7197,92.3582,110423.9012,100956.5711,-104.6732,39.8617,-104.6732,39.8617,-102.0403,42.3776,5.7042,52.5812,11.7861,51.4775,8.5431,48.3538,104469.1122,1477.4704
Mon,060040,0040,2210,1290.995,DFW,DFW,AMS,FRA,9.0435,91.6117,7745.2554,15.0068,93140.4115,84717.2121,-97.038,32.8968,-97.038,32.8968,-95.1705,34.6597,-3.5535,53.1755,-0.46139,52.3086,2.55,50.0264,87271.837,1318.4968
Mon,062010,2010,1945,24.2817,DFW,DFW,CDG,LHR,8.6441,91.3333,8169.2053,84.4552,105299.443,96197.2916,-97.038,32.8968,-97.038,32.8968,-95.0698,34.775,1.7684,51.9848,4.7639,49.0128,8.5431,51.4775,99182.0311,1377.045
Mon,062210,2210,2300,49.973,DTW,DTW,DUS,FRA,8.3005,90.0531,6179.9634,0.96758,74177.5743,68020.494,-83.3534,42.2124,-83.3534,42.2124,-80.7188,43.7945,-3.2471,52.069,-0.46139,51.2895,2.55,50.0264,70323.4017,1205.8698
Mon,060210,0210,2300,1149.4254,ATL,EWR,SNN,BHX,7.4989,77.7671,5809.0169,5.9693,39987.9205,36989.2581,-84.4281,33.6367,-74.1687,40.6925,-71.9268,41.9963,-12.0585,53.0507,-8.9248,52.702,-1.748,52.4539,39083.3072,580.4119
