day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6,Exp,SD
Mon,052115,2115,2035,40,ATL,ATL,BRU,DUS,7.8942,94.6373,7181.3578,20.3154,73068.9173,67300.7255,-84.4281,33.6367,-84.4281,33.6367,-82.5201,35.214,3.7344,51.2254,4.4844,50.9014,6.7668,51.2895,68665.9212,998.8763
Mon,052030,2030,2330,180,ATL,ATL,ATH,FCO,8.8149,88.4136,8627.2308,14.5192,88301.8226,80518.1452,-84.4281,33.6367,-84.4281,33.6367,-82.3185,35.0259,10.0181,42.73,23.9445,37.9364,12.2508,41.8045,82697.3328,1063.1587
Mon,052115,2115,2030,45,ATL,ATL,AMS,FRA,8.9863,90.8522,7243.9672,13.9519,79012.153,71911.8986,-84.4281,33.6367,-84.4281,33.6367,-82.5292,35.2808,1.5362,53.033,4.7639,52.3086,8.5431,50.0264,74350.3007,1070.3077
Mon,052235,2235,0220,1213.9802,ATL,ATL,LGW,LHR,9.1699,92.5312,6776.1126,1.5516,81641.283,74154.8208,-84.4281,33.6367,-84.4281,33.6367,-82.3868,35.2751,-3.6465,52.0883,-0.19028,51.1481,-0.46139,51.4775,76775.7903,1187.4365
Mon,050010,0010,2230,1340,ATL,ATL,BCN,MAD,8.7274,90.5009,7183.0799,45.6475,78159.1841,71337.9555,-84.4281,33.6367,-84.4281,33.6367,-82.0994,34.8403,-5.4341,42.0215,2.0785,41.2971,-3.5668,40.4936,73832.6973,1067.4319
Mon,052140,2140,2355,135,ATL,ATL,CPH,MAN,7.8593,86.8405,7048.3071,124.0653,71169.3288,65575.9011,-84.4281,33.6367,-84.4281,33.6367,-82.5872,35.2678,-5.0204,54.7329,12.656,55.6179,-2.275,53.3537,67748.7577,937.4512
Mon,050025,0025,0210,105.3053,ATL,ATL,DUB,SNN,8.3325,91.413,6254.2017,18.269,55690.5574,51050.1535,-84.4281,33.6367,-84.4281,33.6367,-82.4639,35.2273,-11.6149,53.7648,-6.2701,53.4213,-8.9248,52.702,52832.054,779.7368
Mon,052015,2015,2140,85,ATL,ATL,MUC,STR,9.1707,92.7386,7610.9808,3.3603,77628.1944,70509.139,-84.4281,33.6367,-84.4281,33.6367,-82.4856,35.1848,6.6015,49.4911,11.7861,48.3538,9.222,48.6899,72678.7942,1030.2761
Mon,052105,2105,2335,150,ATL,ATL,MXP,VCE,9.0875,92.3592,7769.8981,14.9225,79230.576,72030.4593,-84.4281,33.6367,-84.4281,33.6367,-82.3868,35.0947,6.2743,46.4588,8.7281,45.6306,12.3519,45.5053,74242.0669,1042.9282
Mon,052315,2315,2350,35,BOS,BOS,AMS,MUC,7.7988,86.1121,5875.434,22.5002,70937.1538,65404.9061,-71.0052,42.3643,-71.0052,42.3643,-68.3238,43.9092,1.8188,52.9371,4.7639,52.3086,11.7861,48.3538,67561.3731,1011.6115
