day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6,Exp,SD
Mon,022255,2255,2225,17.2516,JFK,PHL,VCE,VCE,8.7057,92.0873,6743.5269,0.036002,68651.7802,62675.193,-73.7789,40.6398,-75.2411,39.8719,-71.36,41.9285,9.9504,46.3989,12.3519,45.5053,12.3519,45.5053,64887.7603,1024.8605
Mon,022140,2140,2220,21.77,IAD,PHL,ZRH,ZRH,8.5874,91.3866,6567.2653,1.4354,66834.2306,61094.8969,-77.4558,38.9445,-75.2411,39.8719,-72.8964,41.2098,5.992,48.2669,8.5492,47.4647,8.5492,47.4647,62993.2321,1101.7269
Mon,020220,0220,0225,79.6909,DEN,PHX,FRA,LHR,8.4807,87.7175,8037.2636,19.9635,135744.3206,124232.2149,-104.6732,39.8617,-112.0116,33.4343,-102.606,41.6121,-3.1967,51.9616,-0.46139,50.0264,-0.46139,51.4775,126829.6947,2060.7749
Mon,021200,1200,2155,652.0033,EWR,RDU,LHR,LHR,7.8765,86.5794,5894.1509,10.9293,59930.7525,55210.3348,-74.1687,40.6925,-78.7875,35.8776,-71.8271,42.0628,-3.3859,52.0338,-0.46139,51.4775,-0.46139,51.4775,57210.2557,1118.9875
Mon,022300,2300,2325,60.7339,LAS,SAN,LGW,LGW,9.2275,92.4661,8640.0962,2.9697,127872.1237,116072.6973,-115.1522,36.0801,-117.1897,32.7336,-113.5975,37.7674,-2.534,52.3654,-0.19028,51.1481,-0.19028,51.1481,119221.9933,1704.4438
Mon,020145,0145,1955,1090.4147,SEA,SEA,AMS,CDG,8.9712,90.7114,7887.4505,4.5429,123022.7481,111986.0986,-122.3093,47.449,-122.3093,47.449,-120.1711,49.4963,-2.3072,53.6889,-0.46139,52.3086,4.7639,49.0128,114840.4839,1319.4977
Mon,022105,2105,2125,20.0275,SEA,SEA,CPH,LHR,8.6782,89.549,7760.1108,2.3555,93375.5762,85272.2896,-122.3093,47.449,-122.3093,47.449,-120.3748,49.5875,0.23676,57.2542,2.55,55.6179,8.5431,51.4775,87366.8535,978.316
Mon,022140,2140,2230,70.7922,ATL,SFB,CPH,GLA,6.7029,80.122,7076.5098,169.2142,71227.0828,66452.8126,-84.4281,33.6367,-81.2375,28.7776,-78.9471,35.5763,-7.7783,56.1751,12.656,55.6179,-4.4331,55.8719,68420.3026,924.4209
Mon,022315,2315,2135,112.4868,LAX,SFO,DUB,CDG,7.7873,87.8263,8509.8235,186.8245,100587.5212,92754.4283,-118.4081,33.9425,-122.3749,37.619,-116.9248,39.904,-10.0342,53.9291,-6.2701,53.4213,-6.2701,49.0128,95585.526,1165.1172
Mon,022350,2350,2230,80,SFO,SFO,AMS,FRA,9.4437,93.1758,8713.1129,0.25464,170801.5842,154671.5194,-122.3749,37.619,-122.3749,37.619,-120.9302,39.3835,-2.5213,53.5728,-0.46139,52.3086,2.55,50.0264,159655.5993,2642.1682
Mon,020145,0145,0430,248.6358,SEA,SFO,FRA,LHR,6.4299,90.0435,8798.5741,96.9531,104645.3152,97916.6747,-122.3093,47.449,-122.3749,37.619,-119.4849,48.614,11.1176,51.6521,12.656,50.0264,11.7861,51.4775,98461.7541,1544.6103
Mon,022210,2210,2051,79,SFO,SFO,DUB,MUC,9.2703,91.7867,9000.0643,12.7597,176568.348,160199.9042,-122.3749,37.619,-122.3749,37.619,-121.0579,39.4439,2.7829,54.759,4.7639,53.4213,8.5431,48.3538,165235.109,2642.652
Mon,020025,0025,2215,1310,MEM,MEM,AMS,DUS,8.87,92.1992,7383.2524,1.8146,89419.4667,81487.9914,-89.9767,35.0424,-89.9767,35.0424,-87.892,36.8774,1.9347,53.1172,4.7639,52.3086,6.7668,51.2895,83559.7866,1011.4505
