day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Mon,012115,2115,2030,45,ATL,ATL,AMS,FRA,9.0058,90.8522,7243.9672,13.9519,88905.5606,80898.9119,-84.4281,33.6367,-84.4281,33.6367,-82.5292,35.2808,1.5362,53.033,4.7639,52.3086,8.5431,50.0264
Mon,010010,0010,2230,100,ATL,ATL,BCN,MAD,8.7369,90.0992,7187.5243,54.5364,87985.3933,80298.2339,-84.4281,33.6367,-84.4281,33.6367,-82.0891,34.8262,-6.1371,41.2536,2.0785,41.2971,-3.5668,40.4936
Mon,010025,0025,2355,29.812,ATL,ATL,DUB,MAN,8.8959,90.4657,6453.7402,3.594,77350.0641,70469.0641,-84.4281,33.6367,-84.4281,33.6367,-82.4919,35.2507,-9.714,53.8529,-6.2701,53.4213,-2.275,53.3537
Mon,012115,2115,2015,60,ATL,ATL,BRU,MUC,9.1203,89.7808,7404.3688,0.75324,86060.9903,78211.9724,-84.4281,33.6367,-84.4281,33.6367,-82.5136,35.2086,1.6593,51.5785,4.4844,50.9014,11.7861,48.3538
Mon,012235,2235,2140,53.9967,ATL,ATL,LGW,STR,9.0741,88.0644,7153.3852,0.012282,98905.6106,89930.7938,-84.4281,33.6367,-84.4281,33.6367,-82.3766,35.2663,-3.3463,51.7716,-0.19028,51.1481,9.222,48.6899
Mon,012105,2105,2335,150,ATL,ATL,MXP,VCE,9.0943,92.3592,7769.8981,14.9225,90113.6591,81918.4905,-84.4281,33.6367,-84.4281,33.6367,-82.3868,35.0947,6.2743,46.4588,8.7281,45.6306,12.3519,45.5053
Mon,012035,2035,2215,100,ATL,ATL,DUS,VIE,9.1602,88.831,7630.2871,0.027691,88619.3836,80501.6525,-84.4281,33.6367,-84.4281,33.6367,-82.5475,35.2364,3.9425,52.0076,6.7668,51.2895,16.5697,48.1103
Mon,010045,0045,2035,249.1318,ATL,ATL,CDG,ZRH,8.962,88.5866,7293.7864,0.34373,98542.3083,89710.9718,-84.4281,33.6367,-84.4281,33.6367,-81.5371,35.7852,-0.53306,49.7629,2.55,49.0128,8.5492,47.4647
Mon,012140,2140,2315,81.3213,BDL,BOS,AMS,AMS,8.6829,90.014,5617.2758,3.093,58965.1547,53845.2747,-72.6832,41.9389,-71.0052,42.3643,-68.3238,43.9092,1.7745,52.9458,4.7639,52.3086,4.7639,52.3086
Mon,010305,0305,2300,245,BOS,BOS,CDG,SNN,8.1427,81.2123,5095.5704,10.8749,68964.3731,63348.7961,-71.0052,42.3643,-71.0052,42.3643,-68.2322,43.8134,-12.3124,53.0689,2.55,49.0128,-8.9248,52.702
Mon,010215,0215,0215,0,BOS,BOS,TER,TER,7.8481,83.8907,3689.841,5.5479e-11,59125.6574,54485.4085,-71.0052,42.3643,-71.0052,42.3643,-66.691,42.7759,-29.6901,39.4854,-27.0908,38.7618,-27.0908,38.7618
Mon,010220,0220,0120,138.6259,ATL,BWI,LHR,LHR,8.8137,85.3569,6296.924,0.11427,73543.5417,67061.6217,-84.4281,33.6367,-76.6683,39.1754,-74.43,40.5948,-3.385,52.0358,-0.46139,51.4775,-0.46139,51.4775
Mon,012355,2355,2030,205,CLT,CLT,LGW,MUC,8.904,87.6634,6787.4709,1.9775,89642.7497,81660.99,-80.9431,35.214,-80.9431,35.214,-78.6651,36.8941,-3.101,51.6927,-0.19028,51.1481,8.5431,48.3538
Mon,012330,2330,2350,20,CVG,CVG,CDG,FRA,8.9953,91.276,6556.3827,0.33758,76475.787,69596.5442,-84.6678,39.0488,-84.6678,39.0488,-82.4573,40.4904,-2.922,50.7711,2.55,49.0128,-0.19028,50.0264
Mon,010220,0220,2345,155.191,DEN,DEN,FRA,MUC,8.8368,88.4185,7924.3292,42.8971,125084.1711,114030.7687,-104.6732,39.8617,-104.6732,39.8617,-101.7745,42.2032,-3.1003,51.232,-0.46139,50.0264,8.5431,48.3538
Mon,012335,2335,2210,22.5455,CVG,DFW,LGW,FRA,8.4843,82.853,7459.0448,90.3154,86172.8651,78861.7259,-84.6678,39.0488,-97.038,32.8968,-82.5131,40.5402,0.59017,51.4639,8.5431,51.1481,2.55,50.0264
Mon,010040,0040,1945,295,DFW,DFW,AMS,LHR,9.0078,89.9015,7892.5911,29.1958,127774.0957,116264.4987,-97.038,32.8968,-97.038,32.8968,-95.1705,34.6597,-3.5535,53.1755,-0.46139,52.3086,8.5431,51.4775
Mon,012010,2010,2300,28.1727,DFW,DTW,CDG,FRA,8.7349,80.5707,7196.2296,2.5711,96255.5527,87847.7556,-97.038,32.8968,-83.3534,42.2124,-80.7095,43.7814,-0.36448,50.962,4.7639,49.0128,2.55,50.0264
Mon,012210,2210,0115,186.7931,DTW,DTW,DUS,LGW,8.8823,91.7588,6065.0802,0.076408,63672.0508,58016.5312,-83.3534,42.2124,-83.3534,42.2124,-80.7188,43.7945,-3.2471,52.069,-0.46139,51.2895,-0.19028,51.1481
Mon,010010,0010,1950,290.6701,CVG,DTW,AMS,LHR,8.7039,87.9098,6634.7446,26.5422,69277.4677,63247.6225,-84.6678,39.0488,-83.3534,42.2124,-80.8294,43.8897,1.9272,53.1743,4.7639,52.3086,8.5431,51.4775
Mon,012205,2205,2230,52.7416,BOS,EWR,LHR,BRU,8.7787,86.2688,5574.9254,3.1838,98430.5359,89789.5826,-71.0052,42.3643,-74.1687,40.6925,-68.6861,43.5947,-3.1976,51.9951,-0.46139,51.4775,4.4844,50.9014
Mon,012300,2300,2305,5,EWR,EWR,BHX,DUB,8.7215,88.4378,5284.9762,0.66292,41140.5618,37552.4868,-74.1687,40.6925,-74.1687,40.6925,-71.9716,42.0393,-9.4467,53.8052,-1.748,52.4539,-6.2701,53.4213
Mon,010140,0140,2035,276.0661,BOS,EWR,FRA,DUS,8.4573,85.8494,5967.0069,7.7344,93203.5461,85321.0497,-71.0052,42.3643,-74.1687,40.6925,-67.5046,44.3091,3.5466,52.0661,8.5431,50.0264,6.7668,51.2895
Mon,012350,2350,2335,15,EWR,EWR,EDI,GLA,8.7702,90.7481,5213.8282,0.87455,40606.3772,37045.127,-74.1687,40.6925,-74.1687,40.6925,-72.089,42.1418,-7.8199,56.2186,-3.3725,55.95,-4.4331,55.8719
Mon,012025,2025,0035,279.8059,BOS,EWR,MXP,GVA,8.7196,87.4382,6170.0634,1.0686,82959.9259,75726.1704,-71.0052,42.3643,-74.1687,40.6925,-68.1021,43.6664,3.36,47.1069,8.7281,45.6306,6.109,46.2381
Mon,012325,2325,0025,60.1483,EWR,EWR,FRA,LGW,8.5992,86.326,5903.8591,7.2433,53403.3996,48811.1498,-74.1687,40.6925,-74.1687,40.6925,-71.4979,42.2285,-3.1324,51.7266,8.5431,50.0264,-0.19028,51.1481
Mon,011200,1200,1200,0,EWR,EWR,LHR,LHR,8.8454,91.759,5561.4417,-2.7285e-11,65228.6322,59458.8888,-74.1687,40.6925,-74.1687,40.6925,-71.8271,42.0628,-3.3859,52.0338,-0.46139,51.4775,-0.46139,51.4775
Mon,010120,0120,2330,110,EWR,EWR,BFS,MAN,8.672,88.638,5244.1071,6.2246,40813.3209,37273.9739,-74.1687,40.6925,-74.1687,40.6925,-72.0253,42.0878,-9.5007,55.002,-6.2158,54.6575,-2.275,53.3537
Mon,012350,2350,0015,55.841,BOS,EWR,MUC,MUC,8.8647,89.7675,6342.0858,0.1927,83957.9606,76515.3118,-71.0052,42.3643,-74.1687,40.6925,-68.2436,43.8302,9.2092,49.1947,11.7861,48.3538,11.7861,48.3538
Mon,010130,0130,2350,73.6035,BOS,EWR,KEF,OSL,7.5527,69.5985,4919.2006,31.1777,38283.9857,35392.51,-71.0052,42.3643,-74.1687,40.6925,-69.3036,44.0951,-26.767,63.4353,-22.6056,63.985,11.1004,60.1939
Mon,010210,0210,2325,265.5746,ATL,EWR,SNN,SNN,8.5309,81.1378,5567.6951,0.10328,43262.1822,39571.5172,-84.4281,33.6367,-74.1687,40.6925,-71.9268,41.9963,-12.0585,53.0507,-8.9248,52.702,-8.9248,52.702
Mon,012140,2140,2115,6.0105,EWR,IAD,CPH,CPH,8.7848,89.3907,6375.4337,4.8002,85598.584,78078.9032,-74.1687,40.6925,-77.4558,38.9445,-71.8673,42.492,9.22,56.4079,12.656,55.6179,12.656,55.6179
Mon,012230,2230,2310,102.1683,BOS,IAD,DUB,DUB,8.3389,83.6561,5134.2267,1.6929,69525.123,63727.5098,-71.0052,42.3643,-77.4558,38.9445,-68.2857,43.8677,-9.7056,53.8224,-6.2701,53.4213,-6.2701,53.4213
Mon,012140,2140,0030,198.86,EWR,IAD,FCO,FCO,9.011,90.722,7061.5901,0.032851,84437.3053,76828.6183,-74.1687,40.6925,-77.4558,38.9445,-71.5983,41.8861,9.8103,42.8532,12.2508,41.8045,12.2508,41.8045
Mon,012123,2123,2250,87,IAD,IAD,FRA,LHR,8.9507,87.8613,6227.4871,4.2236,146616.1491,133493.0459,-77.4558,38.9445,-77.4558,38.9445,-75.3702,40.2903,-3.1905,52.0103,8.5431,50.0264,-0.46139,51.4775
Mon,012200,2200,2128,32,IAD,IAD,BRU,MUC,8.9198,87.9475,6545.3302,0.71974,106578.6819,97072.0575,-77.4558,38.9445,-77.4558,38.9445,-75.1352,40.4711,1.4031,51.6354,4.4844,50.9014,11.7861,48.3538
Mon,012120,2120,2200,4.9664,CLT,IAD,FRA,VIE,8.8733,86.6886,7218.935,4.787,114601.4476,104432.5475,-80.9431,35.214,-77.4558,38.9445,-75.1817,40.5125,8.7544,50.9595,11.7861,50.0264,16.5697,48.1103
Mon,012245,2245,2140,35.8399,EWR,IAD,ZRH,ZRH,8.9104,89.9264,6502.8715,0.29367,77927.4264,70983.7686,-74.1687,40.6925,-77.4558,38.9445,-71.7233,42.029,5.731,48.3517,8.5492,47.4647,8.5492,47.4647
Mon,012125,2125,2105,20,IAH,IAH,AMS,FRA,9.0767,91.7801,7884.1345,19.3912,127717.581,116125.0446,-95.3414,29.9844,-95.3414,29.9844,-93.545,31.7563,-3.6256,53.0683,-0.46139,52.3086,2.55,50.0264
Mon,010010,0010,2100,190,IAH,IAH,CDG,LGW,9.1849,91.3009,8006.5246,2.9374,98115.7884,89103.9636,-95.3414,29.9844,-95.3414,29.9844,-93.5692,31.6692,-3.2965,51.9377,4.7639,49.0128,-0.19028,51.1481
Mon,012125,2125,2035,85.7959,DTW,IAH,AMS,LHR,8.9751,80.4531,7325.4863,5.7357,171895.3994,156467.6833,-83.3534,42.2124,-95.3414,29.9844,-81.2408,43.6262,2.1546,53.1086,4.7639,52.3086,8.5431,51.4775
Mon,010055,0055,0225,88.1829,EWR,JFK,BRS,AMS,8.7225,89.9457,5334.6936,6.362,41491.9262,37872.7844,-74.1687,40.6925,-73.7789,40.6398,-71.6918,42.0742,-7.5728,52.7589,-2.7191,51.3827,-4.4991,52.3086
Mon,012300,2300,0010,67.8863,EWR,JFK,CDG,BUD,8.6712,89.6357,5949.6961,9.4042,80048.5823,73107.4354,-74.1687,40.6925,-73.7789,40.6398,-71.1838,42.1911,-0.55678,49.3452,2.55,49.0128,4.4844,47.4369
Mon,012150,2150,2145,6.6434,EWR,JFK,TXL,CDG,8.703,88.1475,6663.0953,14.5884,59880.2423,54668.88,-74.1687,40.6925,-73.7789,40.6398,-71.5028,42.514,10.3857,53.3615,13.2877,52.5597,19.2556,49.0128
Mon,012135,2135,2330,115,JFK,JFK,BRU,DUS,8.5807,86.2649,5448.2364,10.5842,63888.8701,58406.7664,-73.7789,40.6398,-73.7789,40.6398,-71.3877,41.958,-9.2312,51.7253,2.0785,50.9014,-6.2701,51.2895
