day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Mon,012115,2115,2030,45,ATL,ATL,AMS,FRA,9.0058,90.8522,7243.9672,13.9519,88905.5606,80898.9119,-84.4281,33.6367,-84.4281,33.6367,-82.5292,35.2808,1.5362,53.033,4.7639,52.3086,8.5431,50.0264
Mon,010010,0010,2230,100,ATL,ATL,BCN,MAD,8.7369,90.0992,7187.5243,54.5364,87985.3933,80298.2339,-84.4281,33.6367,-84.4281,33.6367,-82.0891,34.8262,-6.1371,41.2536,2.0785,41.2971,-3.5668,40.4936
Mon,010025,0025,2355,29.812,ATL,ATL,DUB,MAN,8.8959,90.4657,6453.7402,3.594,77350.0641,70469.0641,-84.4281,33.6367,-84.4281,33.6367,-82.4919,35.2507,-9.714,53.8529,-6.2701,53.4213,-2.275,53.3537
Mon,012115,2115,2015,60,ATL,ATL,BRU,MUC,9.1203,89.7808,7404.3688,0.75324,86060.9903,78211.9724,-84.4281,33.6367,-84.4281,33.6367,-82.5136,35.2086,1.6593,51.5785,4.4844,50.9014,11.7861,48.3538
Mon,012030,2030,2105,35,ATL,ATL,ATH,MXP,9.2956,85.4856,8394.6551,0.7926,97257.2034,88216.5416,-84.4281,33.6367,-84.4281,33.6367,-82.3868,35.0947,6.2743,46.4588,23.9445,37.9364,8.7281,45.6306
Mon,012235,2235,2140,53.9967,ATL,ATL,LGW,STR,9.0741,88.0644,7153.3852,0.012282,98905.6106,89930.7938,-84.4281,33.6367,-84.4281,33.6367,-82.3766,35.2663,-3.3463,51.7716,-0.19028,51.1481,9.222,48.6899
Mon,010045,0045,2335,69.1939,ATL,ATL,CDG,VCE,8.9793,86.4586,7473.3097,0.5617,100570.8136,91540.2966,-84.4281,33.6367,-84.4281,33.6367,-81.5371,35.7852,-0.53306,49.7629,2.55,49.0128,12.3519,45.5053
Mon,012035,2035,2215,100,ATL,ATL,DUS,VIE,9.1602,88.831,7630.2871,0.027691,88619.3836,80501.6525,-84.4281,33.6367,-84.4281,33.6367,-82.5475,35.2364,3.9425,52.0076,6.7668,51.2895,16.5697,48.1103
Mon,012140,2140,2315,81.3213,BDL,BOS,AMS,AMS,8.6829,90.014,5617.2758,3.093,58965.1547,53845.2747,-72.6832,41.9389,-71.0052,42.3643,-68.3238,43.9092,1.7745,52.9458,4.7639,52.3086,4.7639,52.3086
Mon,012230,2230,2300,30,BOS,BOS,DUB,SNN,8.2886,87.4435,4732.4642,16.0658,64222.652,58899.495,-71.0052,42.3643,-71.0052,42.3643,-68.2322,43.8134,-12.3124,53.0689,-6.2701,53.4213,-8.9248,52.702
Mon,010215,0215,0215,0,BOS,BOS,TER,TER,7.8481,83.8907,3689.841,5.5479e-11,59125.6574,54485.4085,-71.0052,42.3643,-71.0052,42.3643,-66.691,42.7759,-29.6901,39.4854,-27.0908,38.7618,-27.0908,38.7618
Mon,010220,0220,0120,138.6259,ATL,BWI,LHR,LHR,8.8137,85.3569,6296.924,0.11427,73543.5417,67061.6217,-84.4281,33.6367,-76.6683,39.1754,-74.43,40.5948,-3.385,52.0358,-0.46139,51.4775,-0.46139,51.4775
Mon,012355,2355,2030,205,CLT,CLT,LGW,MUC,8.904,87.6634,6787.4709,1.9775,89642.7497,81660.99,-80.9431,35.214,-80.9431,35.214,-78.6651,36.8941,-3.101,51.6927,-0.19028,51.1481,8.5431,48.3538
Mon,012330,2330,2350,20,CVG,CVG,CDG,FRA,8.9953,91.276,6556.3827,0.33758,76475.787,69596.5442,-84.6678,39.0488,-84.6678,39.0488,-82.4573,40.4904,-2.922,50.7711,2.55,49.0128,-0.19028,50.0264
Mon,010220,0220,2345,155.191,DEN,DEN,FRA,MUC,8.8368,88.4185,7924.3292,42.8971,125084.1711,114030.7687,-104.6732,39.8617,-104.6732,39.8617,-101.7745,42.2032,-3.1003,51.232,-0.46139,50.0264,8.5431,48.3538
Mon,012335,2335,2210,22.5455,CVG,DFW,LGW,FRA,8.4843,82.853,7459.0448,90.3154,86172.8651,78861.7259,-84.6678,39.0488,-97.038,32.8968,-82.5131,40.5402,0.59017,51.4639,8.5431,51.1481,2.55,50.0264
Mon,010010,0010,0140,63.4041,CVG,DTW,AMS,CDG,8.5676,88.6026,6668.8481,63.4237,51280.0896,46886.6216,-84.6678,39.0488,-83.3534,42.2124,-80.7182,43.0741,1.6362,52.3143,4.7639,52.3086,6.7668,49.0128
Mon,012010,2010,2300,28.1727,DFW,DTW,CDG,FRA,8.7349,80.5707,7196.2296,2.5711,96255.5527,87847.7556,-97.038,32.8968,-83.3534,42.2124,-80.7095,43.7814,-0.36448,50.962,4.7639,49.0128,2.55,50.0264
Mon,012210,2210,0115,186.7931,DTW,DTW,DUS,LGW,8.8823,91.7588,6065.0802,0.076408,63672.0508,58016.5312,-83.3534,42.2124,-83.3534,42.2124,-80.7188,43.7945,-3.2471,52.069,-0.46139,51.2895,-0.19028,51.1481
Mon,012205,2205,2230,52.7416,BOS,EWR,LHR,BRU,8.7787,86.2688,5574.9254,3.1838,98430.5359,89789.5826,-71.0052,42.3643,-74.1687,40.6925,-68.6861,43.5947,-3.1976,51.9951,-0.46139,51.4775,4.4844,50.9014
Mon,012300,2300,2305,5,EWR,EWR,BHX,DUB,8.7215,88.4378,5284.9762,0.66292,41140.5618,37552.4868,-74.1687,40.6925,-74.1687,40.6925,-71.9716,42.0393,-9.4467,53.8052,-1.748,52.4539,-6.2701,53.4213
Mon,010305,0305,0035,120.1936,BOS,EWR,CDG,GVA,8.4732,85.5308,5889.1793,19.155,79200.7012,72489.8601,-71.0052,42.3643,-74.1687,40.6925,-68.1649,43.7403,-0.60537,49.1569,2.55,49.0128,6.109,46.2381
Mon,012350,2350,2130,140,EWR,EWR,EDI,HAM,8.692,84.2391,5691.2365,0.15005,44188.1876,40347.3664,-74.1687,40.6925,-74.1687,40.6925,-72.0983,42.1493,-6.7595,56.3194,-3.3725,55.95,9.9882,53.6304
Mon,010055,0055,0025,30,EWR,EWR,BRS,LGW,8.8103,90.2099,5503.6752,1.0383,42778.725,39009.8057,-74.1687,40.6925,-74.1687,40.6925,-71.9131,41.9827,-5.702,51.9043,-2.7191,51.3827,-0.19028,51.1481
Mon,011200,1200,1200,0,EWR,EWR,LHR,LHR,8.8454,91.759,5561.4417,-2.7285e-11,65228.6322,59458.8888,-74.1687,40.6925,-74.1687,40.6925,-71.8271,42.0628,-3.3859,52.0338,-0.46139,51.4775,-0.46139,51.4775
Mon,010120,0120,2330,110,EWR,EWR,BFS,MAN,8.672,88.638,5244.1071,6.2246,40813.3209,37273.9739,-74.1687,40.6925,-74.1687,40.6925,-72.0253,42.0878,-9.5007,55.002,-6.2158,54.6575,-2.275,53.3537
Mon,012025,2025,2150,112.1009,BOS,EWR,MXP,MXP,8.6829,89.3225,6275.2533,0.043009,80773.0499,73759.6051,-71.0052,42.3643,-74.1687,40.6925,-68.1124,43.6789,6.0336,46.56,8.7281,45.6306,8.7281,45.6306
Mon,010130,0130,2350,73.6035,BOS,EWR,KEF,OSL,7.5527,69.5985,4919.2006,31.1777,38283.9857,35392.51,-71.0052,42.3643,-74.1687,40.6925,-69.3036,44.0951,-26.767,63.4353,-22.6056,63.985,11.1004,60.1939
Mon,010135,0135,2245,143.9458,BOS,EWR,ZRH,ZRH,8.6773,87.7566,6171.1369,0.0084185,85981.2668,78520.3813,-71.0052,42.3643,-74.1687,40.6925,-67.339,44.1346,5.6539,48.3731,8.5492,47.4647,8.5492,47.4647
Mon,010140,0140,2200,160.5575,BOS,IAD,FRA,BRU,8.5047,82.3935,6068.2591,1.6847,96957.7679,88711.7872,-71.0052,42.3643,-77.4558,38.9445,-67.4521,44.2565,1.3921,51.6159,8.5431,50.0264,4.4844,50.9014
Mon,012140,2140,2115,6.0105,EWR,IAD,CPH,CPH,8.7848,89.3907,6375.4337,4.8002,85598.584,78078.9032,-74.1687,40.6925,-77.4558,38.9445,-71.8673,42.492,9.22,56.4079,12.656,55.6179,12.656,55.6179
Mon,012140,2140,0030,198.86,EWR,IAD,FCO,FCO,9.011,90.722,7061.5901,0.032851,84437.3053,76828.6183,-74.1687,40.6925,-77.4558,38.9445,-71.5983,41.8861,9.8103,42.8532,12.2508,41.8045,12.2508,41.8045
Mon,012123,2123,2250,87,IAD,IAD,FRA,LHR,8.9507,87.8613,6227.4871,4.2236,146616.1491,133493.0459,-77.4558,38.9445,-77.4558,38.9445,-75.3702,40.2903,-3.1905,52.0103,8.5431,50.0264,-0.46139,51.4775
Mon,012120,2120,2200,4.9664,CLT,IAD,FRA,VIE,8.8733,86.6886,7218.935,4.787,114601.4476,104432.5475,-80.9431,35.214,-77.4558,38.9445,-75.1817,40.5125,8.7544,50.9595,11.7861,50.0264,16.5697,48.1103
Mon,012035,2035,2140,6.7288,ATL,IAD,ZRH,ZRH,9.0232,87.501,7102.6027,0.52828,82650.4159,75192.6721,-84.4281,33.6367,-77.4558,38.9445,-75.1804,40.3207,5.9999,48.2786,8.5492,47.4647,8.5492,47.4647
Mon,012125,2125,2105,20,IAH,IAH,AMS,FRA,9.0767,91.7801,7884.1345,19.3912,127717.581,116125.0446,-95.3414,29.9844,-95.3414,29.9844,-93.545,31.7563,-3.6256,53.0683,-0.46139,52.3086,2.55,50.0264
Mon,010010,0010,2100,190,IAH,IAH,CDG,LGW,9.1849,91.3009,8006.5246,2.9374,98115.7884,89103.9636,-95.3414,29.9844,-95.3414,29.9844,-93.5692,31.6692,-3.2965,51.9377,4.7639,49.0128,-0.19028,51.1481
Mon,012125,2125,2035,85.7959,DTW,IAH,AMS,LHR,8.9751,80.4531,7325.4863,5.7357,171895.3994,156467.6833,-83.3534,42.2124,-95.3414,29.9844,-81.2408,43.6262,2.1546,53.1086,4.7639,52.3086,8.5431,51.4775
Mon,012325,2325,0225,178.2105,EWR,JFK,SNN,AMS,8.6561,87.937,5108.7888,1.9091,39815.0268,36368.5842,-74.1687,40.6925,-73.7789,40.6398,-71.6911,42.1375,-12.0605,53.0431,-8.9248,52.702,-4.4991,52.3086
Mon,012300,2300,0010,67.8863,EWR,JFK,CDG,BUD,8.6712,89.6357,5949.6961,9.4042,80048.5823,73107.4354,-74.1687,40.6925,-73.7789,40.6398,-71.1838,42.1911,-0.55678,49.3452,2.55,49.0128,4.4844,47.4369
Mon,012325,2325,2145,101.5461,EWR,JFK,FRA,CDG,8.4853,86.0487,6585.6091,37.4366,66861.4742,61188.0601,-74.1687,40.6925,-73.7789,40.6398,-71.5196,42.5188,5.3768,50.892,8.5431,50.0264,19.2556,49.0128
Mon,012135,2135,2330,115,JFK,JFK,BRU,DUS,8.5807,86.2649,5448.2364,10.5842,63888.8701,58406.7664,-73.7789,40.6398,-73.7789,40.6398,-71.3877,41.958,-9.2312,51.7253,2.0785,50.9014,-6.2701,51.2895
Mon,012150,2150,2145,8.4299,EWR,JFK,TXL,EDI,8.6347,87.3125,6121.1333,22.4754,63424.2002,57947.7364,-74.1687,40.6925,-73.7789,40.6398,-71.4273,42.4047,3.5216,56.5327,13.2877,52.5597,6.7668,55.95
Mon,012310,2310,0200,167.8557,EWR,JFK,BCN,FCO,8.7405,88.4498,5954.6878,16.9923,46100.1299,42070.7595,-74.1687,40.6925,-73.7789,40.6398,-71.3687,41.7508,-5.76,42.5583,2.0785,41.2971,-3.3725,41.8045
Mon,012120,2120,2330,128.689,EWR,JFK,ARN,HEL,8.5224,85.9477,5986.9306,16.1956,80487.3396,73627.8502,-74.1687,40.6925,-73.7789,40.6398,-71.975,42.7236,2.0049,60.8132,17.9186,59.6519,6.109,60.3172
